Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
2,110028,1,0,2.0,0,1,3,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0,satisfied
4,119299,0,0,8.0,0,1,0,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0,satisfied
7,96462,1,0,8.0,0,1,7,4,3,4,4,5,5,5,5,5,5,5,4,5,4,1,0,satisfied
13,83502,0,0,4.0,1,0,2,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0,satisfied
16,71142,1,0,2.0,0,1,7,3,3,3,3,4,4,4,4,5,3,4,5,4,4,4,4,satisfied
17,127461,0,0,6.0,0,1,7,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,2,satisfied
18,70354,1,0,7.0,0,1,7,4,4,4,4,3,4,5,5,5,5,5,3,5,4,1,1,satisfied
24,105420,1,1,2.0,0,0,1,5,0,5,1,1,5,1,1,4,5,5,3,5,1,4,4,satisfied
26,18510,1,0,4.0,0,1,5,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0,satisfied
27,14925,1,0,7.0,0,2,0,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,1,satisfied
30,48492,1,0,3.0,0,1,2,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0,satisfied
32,70594,1,0,4.0,0,1,8,4,5,4,4,4,4,4,3,3,4,5,4,3,4,4,4,satisfied
38,96517,1,0,7.0,1,0,0,4,4,4,3,2,4,5,4,4,4,4,4,4,4,3,4,satisfied
40,64138,0,0,5.0,0,1,6,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0,satisfied
42,14849,0,0,6.0,0,1,0,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0,satisfied
43,28319,1,0,5.0,0,1,8,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0,satisfied
44,103012,1,0,7.0,0,1,1,1,1,1,1,3,5,5,3,3,3,3,4,3,5,0,2,satisfied
45,124114,0,0,3.0,0,1,1,1,1,1,1,5,5,5,5,4,2,5,5,4,5,1,0,satisfied
48,53164,0,0,8.0,0,1,1,3,3,3,3,5,2,3,5,5,5,5,4,5,3,1,0,satisfied
51,113046,0,0,2.0,0,1,7,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,0,satisfied
52,1050,1,0,8.0,0,0,0,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0,satisfied
55,7467,1,0,7.0,0,1,8,2,4,2,2,4,5,5,4,4,4,4,3,4,5,4,4,satisfied
56,78972,1,0,8.0,0,1,7,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,1,satisfied
57,126625,0,0,5.0,0,1,1,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0,satisfied
61,68001,1,0,8.0,0,1,8,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0,satisfied
63,8661,1,0,7.0,0,1,7,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0,satisfied
64,57165,1,0,8.0,0,1,7,5,5,5,5,2,4,4,4,4,4,4,3,4,4,3,2,satisfied
65,78610,0,0,2.0,0,1,5,3,3,3,3,4,5,4,4,5,4,4,4,4,4,1,0,satisfied
67,92027,0,0,7.0,0,1,5,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0,satisfied
69,9261,1,0,5.0,0,2,0,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0,satisfied
70,61033,1,0,8.0,0,1,5,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0,satisfied
75,101639,1,1,2.0,0,1,5,5,1,5,4,1,5,1,1,4,2,5,4,5,1,0,0,satisfied
77,106922,0,0,8.0,1,0,4,4,5,4,2,2,4,2,2,4,5,3,4,4,2,3,1,satisfied
80,73302,0,0,2.0,0,1,9,1,1,1,1,4,4,4,4,4,2,5,4,4,4,4,4,satisfied
83,65655,1,1,2.0,0,1,2,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0,satisfied
84,88062,0,0,7.0,0,1,1,2,2,2,2,3,5,5,4,4,4,4,5,4,4,4,4,satisfied
85,91330,0,0,3.0,0,2,1,4,4,4,4,4,4,4,4,1,2,2,4,2,4,3,1,satisfied
88,51947,0,0,7.0,0,1,8,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0,satisfied
90,76392,0,0,8.0,1,0,2,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0,satisfied
91,118486,1,1,6.0,0,1,0,5,5,5,3,2,5,2,2,3,4,4,4,4,2,4,3,satisfied
93,30183,1,0,8.0,0,2,0,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0,satisfied
94,41652,1,0,8.0,0,0,0,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,2,satisfied
95,15138,1,0,3.0,0,0,3,4,1,1,1,4,4,4,4,4,3,1,5,2,4,4,4,satisfied
99,96963,1,1,6.0,0,1,2,3,3,3,3,3,3,4,3,5,2,4,3,4,3,3,3,satisfied
101,72989,0,0,2.0,0,1,7,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0,satisfied
104,65420,0,1,2.0,0,1,0,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0,satisfied
110,77591,0,0,8.0,0,1,7,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,1,satisfied
114,31010,1,0,4.0,0,1,7,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0,satisfied
117,95841,0,0,7.0,0,1,6,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0,satisfied
123,56161,0,0,7.0,0,1,4,5,5,5,5,2,5,5,4,4,4,4,3,4,5,1,2,satisfied
125,23788,1,0,4.0,0,1,0,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0,satisfied
126,129579,0,0,8.0,0,1,0,2,2,2,2,4,5,5,4,4,4,4,3,4,5,3,1,satisfied
129,45561,0,0,1.0,0,0,4,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0,satisfied
130,5228,0,1,2.0,0,1,0,4,4,4,3,2,4,2,2,4,5,4,4,5,2,1,2,satisfied
135,91746,0,0,2.0,0,1,1,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0,satisfied
136,4233,1,0,7.0,0,1,3,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0,satisfied
139,31147,0,0,3.0,0,1,8,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0,satisfied
